Local authority code,Local authority name,LSOA code,LSOA name,Median House Price 2022,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against The Person,Total Crime 2022,IMD Score,Income Deprivation Rank,Employment Deprivation Rank,Education Deprivation Rank,Health Deprivation Rank,Crime Deprivation Rank,Housing and Services Deprivation Rank,Living Environment Deprivation Rank,Total Population 2015,Average PTAI 2015,PTAL
E09000002,Barking and Dagenham,E01000006,Barking and Dagenham 016A,205000,6.0,3.0,17.0,5.0,2.0,4.0,10.0,12.0,26.0,34.0,119.0,19.837,14023,21692,17511,21581,18848,1033,10629,2040,22.4558,5
E09000002,Barking and Dagenham,E01000007,Barking and Dagenham 015A,350000,23.0,9.0,72.0,5.0,9.0,41.0,24.0,112.0,23.0,152.0,470.0,31.576,6261,11487,20536,16414,4925,274,11162,2101,33.3023,6a
E09000002,Barking and Dagenham,E01000008,Barking and Dagenham 015B,190000,14.0,14.0,27.0,3.0,5.0,16.0,5.0,27.0,32.0,67.0,210.0,37.596,3382,6431,10569,12334,11113,981,8672,1566,7.39059,2
E09000002,Barking and Dagenham,E01000009,Barking and Dagenham 016B,360000,22.0,5.0,58.0,2.0,2.0,17.0,12.0,54.0,32.0,94.0,298.0,32.844,7506,11132,16819,9661,4431,554,9611,1775,38.3641,6a
E09000002,Barking and Dagenham,E01000010,Barking and Dagenham 015C,194000,71.0,48.0,162.0,11.0,10.0,92.0,64.0,552.0,73.0,283.0,1366.0,32.437,8902,17988,20182,16050,2164,259,2269,3195,32.286,6a
E09000002,Barking and Dagenham,E01000011,Barking and Dagenham 016C,450000,5.0,4.0,10.0,6.0,1.0,3.0,3.0,7.0,14.0,50.0,103.0,30.679,9033,16108,12224,18178,8727,110,4309,1670,31.9167,6a
E09000002,Barking and Dagenham,E01000012,Barking and Dagenham 015D,242500,15.0,7.0,10.0,4.0,1.0,6.0,0.0,13.0,29.0,76.0,161.0,34.714,4570,13201,13896,16887,8515,39,5437,2023,16.2314,4
E09000002,Barking and Dagenham,E01000013,Barking and Dagenham 013A,380000,21.0,15.0,38.0,3.0,1.0,21.0,8.0,58.0,20.0,81.0,266.0,38.997,5966,7013,11346,7172,2236,1018,8569,1747,13.1449,3
E09000002,Barking and Dagenham,E01000014,Barking and Dagenham 013B,360000,9.0,8.0,15.0,2.0,1.0,5.0,6.0,11.0,20.0,42.0,119.0,35.67,6627,7932,7994,10972,5163,872,11704,1669,7.46001,2
E09000002,Barking and Dagenham,E01000015,Barking and Dagenham 009A,355544,12.0,10.0,16.0,4.0,2.0,14.0,1.0,19.0,15.0,56.0,149.0,33.632,5755,9271,10318,15626,10845,278,11351,2372,8.29508,2
E09000002,Barking and Dagenham,E01000016,Barking and Dagenham 009B,360000,10.0,8.0,5.0,1.0,1.0,5.0,4.0,17.0,13.0,25.0,89.0,32.839,6711,9461,8971,10676,8699,1273,11815,1750,5.11561,2
E09000002,Barking and Dagenham,E01000017,Barking and Dagenham 009C,350000,8.0,6.0,3.0,1.0,0.0,4.0,3.0,10.0,16.0,38.0,89.0,39.004,4033,5016,11972,6950,11685,902,10141,1516,8.20281,2
E09000002,Barking and Dagenham,E01000018,Barking and Dagenham 009D,375000,12.0,9.0,1.0,5.0,0.0,3.0,3.0,12.0,19.0,59.0,123.0,33.406,5998,7832,10125,12006,9663,1323,11373,1791,7.37822,2
E09000002,Barking and Dagenham,E01000019,Barking and Dagenham 023A,370500,5.0,3.0,2.0,3.0,0.0,2.0,1.0,9.0,15.0,39.0,79.0,33.62,7049,7641,10264,9374,7142,1855,10667,1498,4.58686,1b
E09000002,Barking and Dagenham,E01000020,Barking and Dagenham 023B,332000,10.0,18.0,3.0,1.0,0.0,5.0,2.0,24.0,16.0,37.0,116.0,36.035,5760,8401,11245,6282,7066,1319,8756,1947,6.75302,2
E09000002,Barking and Dagenham,E01000021,Barking and Dagenham 008A,400000,17.0,7.0,13.0,1.0,0.0,7.0,2.0,15.0,28.0,68.0,158.0,38.888,5007,7865,7939,10085,8283,961,3095,1682,4.86539,1b
