LSOA code,LSOA name,Local authority name,Median House Price Quartile,Total Crime Quartile,Violence Against The Person Quartile,Total IMD Quartile,Transport Quartile
E01000006,Barking and Dagenham 016A,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q2 (24.00 to 38.00),Q2 (12.31 to 20.12),Q4 (16.97 to 121.89)
E01000007,Barking and Dagenham 015A,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q4 (16.97 to 121.89)
E01000008,Barking and Dagenham 015B,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000009,Barking and Dagenham 016B,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q4 (16.97 to 121.89)
E01000010,Barking and Dagenham 015C,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q4 (16.97 to 121.89)
E01000011,Barking and Dagenham 016C,Barking and Dagenham,Q2 (420000.00 to 520000.00),Q2 (79.00 to 114.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q4 (16.97 to 121.89)
E01000012,Barking and Dagenham 015D,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q3 (9.48 to 16.97)
E01000013,Barking and Dagenham 013A,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q3 (9.48 to 16.97)
E01000014,Barking and Dagenham 013B,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000015,Barking and Dagenham 009A,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000016,Barking and Dagenham 009B,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000017,Barking and Dagenham 009C,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000018,Barking and Dagenham 009D,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
